,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
69,False,,[],1111042,fr,Dilemne Dilemme,"Dana and Fox meet through a dating app for conspiracy theorists, but soon discover they don’t share the same interests. As some terrifying events occur around them, they wonder about the purpose of having met.",23.567,/bf3HTj67Pjz4eMDwA2JfSqtecSE.jpg,2023-04-25,Dilemna Dilemma,False,0.0,0
70,False,/ayCzPhFFeWAzr5nX0GdXsum01jW.jpg,"[10749, 18]",1076652,en,Dancing in the Moonlight,"Don is an aspiring writer and hopeless romantic who finds love and compassion with the new girl, Ellie. When Ellie discovers that her childhood cancer has returned, Don makes it his mission to ensure the rest of Ellie's life is just as good as it was, if not better than when they met.",23.697,/aLlTRpnF1JEj7twxqOodf1eTT4.jpg,2023-04-25,Dancing in the Moonlight,False,2.0,1
71,False,/pCAzebfSDSvviSgvESZUAg7ofje.jpg,"[18, 10749]",807862,fr,Peter von Kant,"Peter von Kant, a successful, famous director, lives with his assistant Karl, whom he likes to mistreat and humiliate. Through the great actress Sidonie, he meets and falls in love with Amir, a handsome young man of modest means. He offers to share his apartment and help Amir break into the world of cinema. Several months later, Amir becomes a star. But as soon as he acquires fame, he breaks up with Peter, leaving him alone to face himself.",21.772,/5ZTjS0XmJHCAcp0jWj6tR64hAeJ.jpg,2022-07-06,Peter von Kant,False,5.6,62
72,False,/rfhrG37ikF5pOm9pJTbgfIlGK5g.jpg,"[10749, 18, 35]",758336,en,Love Again,"Mira Ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number…not realizing the number was reassigned to Rob Burns’ new work phone. A journalist, Rob is captivated by the honesty in the beautifully confessional texts. When he’s assigned to write a profile of megastar Celine Dion, he enlists her help in figuring out how to meet Mira in person and win her heart.",21.764,/jJZG6fi8CqI3KWCRFnkGFVx60GB.jpg,2023-05-05,Love Again,False,0.0,0
73,False,/bAqeLqPU8M2tm9jTv5HH89lPXZ9.jpg,"[35, 28]",931102,zh,龙马精神,"The once beautiful, now down-and-out Dragon Tiger martial artist Lao Luo lives with his beloved horse, Red Rabbit. Due to a debt dispute involving Red Rabbit, he is faced with the crisis of ""father-son separation"". In desperation, Lao Luo asks his daughter Bao and her boyfriend Naihua, who have misunderstood him for years, for help. On the road of self-help of three people and one horse, they make a lot of jokes and gradually get closer to each other.",21.052,/oGsxGrviqmTnMDSSNsyPQMgPqhn.jpg,2023-04-07,Ride On,False,5.6,7
74,False,/q5Hj3Zsb0lkEV1gh2dNxK9Q7bzw.jpg,"[28, 53, 80]",857553,en,Johnny & Clyde,"Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. Alana (Megan Fox) is the confident and cunning owner of a prosperous casino that generates tens of millions of dollars each year. Johnny and Clyde decide to assemble a ragtag group of criminals and misfits to steal from Alana's casino and pull off the heist of the century. Unfortunately for Johnny and Clyde's crew, Alana has a deadly weapon at her disposal – the monstrous slasher spirit known as Bakwas.",23.306,/cdfdR90WYCTQmYoQ0aDRZP8I2IL.jpg,2023-03-23,Johnny & Clyde,False,4.0,5
75,False,/fU92iWyQbysjAQmkfkuFxNlWzz1.jpg,"[878, 12, 14, 28, 35]",3604,en,Flash Gordon,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,21.573,/5PyiSSJ6lVsY8IbmPHBo1sp596h.jpg,1980-09-01,Flash Gordon,False,6.2,820
76,False,/gjWKILGSoS22g4rqOTxDfUHE5oz.jpg,"[53, 80, 9648]",925102,fr,La Nuit du 12,"Young and ambitious Captain Vivés has just been appointed group leader at the Grenoble Criminal Squad when Clara's murder case lands on his desk. Vivés and his team investigate Clara's complex life and relations, but what starts as a professional and methodical immersion into the victim's life soon turns into a haunting obsession.",21.837,/q3oWnNcbnWrMnpofDwlN947Bi6B.jpg,2022-07-13,The Night of the 12th,False,7.1,341
77,False,/6b6UpsOXmjO8mJKYsGTG9HW49CN.jpg,"[18, 10749]",1443,en,The Virgin Suicides,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",19.875,/wDrTeDUuWf7SRQnkVea2ZpOcwnt.jpg,1999-12-31,The Virgin Suicides,False,7.1,2720
78,False,/sIZqyUpDTx26YzDgHQx9nxOX16K.jpg,"[16, 12, 14]",844075,zh,新神榜：杨戬,"Fifteen hundred years after the war of gods, the heaven declined. Yang Jian, the God of Erlang, made a living by working as a catcher. One day, Yang Jian was ordered to hunt down a young man, his own nephew.",19.694,/tW5dFOemV4d7hxTcVI2bu4u0C9z.jpg,2022-08-19,New Gods: Yang Jian,False,6.8,17
